[5, 11, 12, 32, 36, 47]
[12, 24, 26, 28, 32, 49]
[10, 26, 34, 36, 38, 47]
[2, 10, 15, 19, 41, 43]
[11, 15, 19, 23, 32, 39]
[9, 24, 25, 33, 36, 38]
[20, 28, 31, 36, 42, 46]
[3, 4, 29, 41, 42, 47]
[7, 9, 25, 32, 37, 46]
[13, 21, 27, 35, 37, 42]
[17, 29, 32, 41, 42, 45]
[3, 5, 6, 13, 14, 21]
[4, 6, 7, 13, 19, 26]
[5, 20, 21, 31, 36, 43]
[1, 16, 30, 34, 40, 44]
[11, 24, 37, 41, 43, 46]
[3, 15, 25, 28, 29, 34]
[2, 4, 9, 12, 31, 43]
[7, 14, 21, 28, 38, 46]
[5, 14, 15, 19, 43, 49]
[6, 16, 25, 35, 42, 46]
[14, 22, 25, 33, 38, 45]
[2, 10, 11, 16, 26, 41]
[10, 18, 20, 26, 45, 48]
[13, 19, 28, 40, 41, 42]
[2, 21, 22, 24, 26, 30]
[4, 8, 22, 27, 29, 46]
